,id,e1,r1,e2,r2,e3,e1_label,e2_label,e3_label,e1_aliases,e2_aliases,e3_aliases,e1_type,r1_type,e2_type,r2_type,e3_type,e1_popularity,e2_popularity,e3_popularity,r1_template,r2_template,source_prompt,first_hop_correct,second_hop_correct,composition_correct,entity_shortcut_correct,relation_shortcut_correct
193,152,Q23,P22,Q768342,P26,Q458119,George Washington,Augustine Washington,Mary Ball Washington,"['American Fabius', 'Father of the United States', 'The American Fabius']","['Augustine Washington Sr.', 'Washington, Augustine']","['Mary Washington', 'Mary Ball']",human,father,human,spouse,human,5819.0,1207.0,3233.0,the father of {},the spouse of {},the spouse of the father of George Washington is,True,True,True,False,False
256,161,Q329,P22,Q3898147,P27,Q28,Nicolas Sarkozy,Paul Sarkozy,Hungary,"['Nicolas Paul Stéphane Sarközy de Nagy-Bocsa', 'Nicolas Sarközy', 'Sarko']","['Pal Sarkozy', 'Pál Sarkozy']","['HUN', 'Magyarország', '🇭🇺', 'hu']",human,father,human,country of citizenship,country,3277.0,23908.0,11158.0,the father of {},the country of citizenship of {},the country of citizenship of the father of Nicolas Sarkozy is,True,False,True,False,False
38,419,Q714,P27,Q30,P38,Q4917,Stevie Wonder,United States of America,United States dollar,"['Little Stevie Wonder', 'Eivets Rednow', 'Steveland Judkins', 'Steveland Morris', 'Stevie Judkins', 'Stevland Hardaway Judkins', 'Stevland Hardaway Morris']","['the States', 'the U.S.', 'the United States', 'the United States of America', 'the US', 'the USA', 'U. S.', 'U. S. A.', 'U.S.', 'U.S.A.', 'US of A', 'USA', 'America', 'United States', 'US', 'Merica', 'the U.S. of A', 'the U.S. of America', 'the U.S.A.', 'the US of A', 'the US of America', 'U.S. of America', 'US of America', 'America (United States)']","['$', 'dollar', 'dollars', 'USD', 'buck', 'American dollar', 'U. S. Dollar', 'U.S. Dollar', 'US $', 'US dollar', 'US-$', 'US$', 'greenback', '$USD', 'USD$', 'US dollars', 'American dollars', 'United States dollars', 'USA dollar', 'USA dollars']",human,country of citizenship,country,currency,currency,1241.0,47117.0,24833.0,the country of citizenship of {},the currency of {},the currency of the country of citizenship of Stevie Wonder is,True,True,True,False,False
17,422,Q607,P27,Q30,P85,Q44696,Michael Bloomberg,United States of America,The Star-Spangled Banner,"['Michael R. Bloomberg', 'Michael Rubens Bloomberg', 'Mike Bloomberg']","['the States', 'the U.S.', 'the United States', 'the United States of America', 'the US', 'the USA', 'U. S.', 'U. S. A.', 'U.S.', 'U.S.A.', 'US of A', 'USA', 'America', 'United States', 'US', 'Merica', 'the U.S. of A', 'the U.S. of America', 'the U.S.A.', 'the US of A', 'the US of America', 'U.S. of America', 'US of America', 'America (United States)']","['Star-Spangled Banner', 'The Star Spangled Banner']",human,country of citizenship,country,anthem,musical work/composition,3188.0,32.0,13.0,the country of citizenship of {},the national anthem of {},the national anthem of the country of citizenship of Michael Bloomberg is,True,True,True,False,False
375,792,Q1203,P800,Q1971,P495,Q145,John Lennon,Imagine,United Kingdom,"['John Ono Lennon', 'John Winston Lennon', 'John Winston Ono Lennon', 'Lennon John']",['Imagine (song)'],"['Britain', 'UK', 'G. B.', 'GBR', 'Great Britain', 'GB', 'G.B.', 'United Kingdom of Great Britain and Northern Ireland', 'G B', 'G B R', 'G.B.R.', '🇬🇧', 'Great Britain and Northern Ireland', 'The UK', 'The United Kingdom of Great Britain and Northern Ireland', 'U K', 'U. K.', 'U.K.']",human,notable work,musical work/composition,country of origin,country,26855.0,2612.0,23908.0,the most notable work of {},the country of origin of {},the country of origin of the most notable work of John Lennon is,True,False,True,False,False
250,800,Q1319,P25,Q5409445,P26,Q1326,Federico Errázuriz Echaurren,Eulogia Echaurren,Federico Errázuriz Zañartu,['Federico Errazuriz Echaurren'],"['Eulogia Echaurren Garcia-Huidobro', 'Eulogia Echaurren García-Huidobro']",['Federico Marcos del Rosario Errázuriz Zañartu'],human,mother,human,spouse,human,397.0,47117.0,24833.0,the mother of {},the spouse of {},the spouse of the mother of Federico Errázuriz Echaurren is,True,False,True,False,False
44,813,Q1379,P27,Q30,P85,Q44696,Gary Gygax,United States of America,The Star-Spangled Banner,"['Ernest Gygax', 'E. Gary Gygax', 'Ernest Gary Gygax']","['America', 'United States', 'US', 'the States', 'the U.S.', 'the United States', 'the United States of America', 'the US', 'the USA', 'U. S.', 'U. S. A.', 'U.S.', 'U.S.A.', 'US of A', 'USA', 'Merica', 'the U.S. of A', 'the U.S. of America', 'the U.S.A.', 'the US of A', 'the US of America', 'U.S. of America', 'US of America', 'America (United States)']","['Star-Spangled Banner', 'The Star Spangled Banner']",human,country of citizenship,country,anthem,musical work/composition,3718.0,47117.0,10842.0,the country of citizenship of {},the national anthem of {},the national anthem of the country of citizenship of Gary Gygax is,True,True,True,False,False
71,843,Q1333,P27,Q298,P36,Q2887,Francisco Antonio Pinto,Chile,Santiago,"['Francisco Antonio Pinto y Diaz de la Puente', 'Francisco Antonio Pinto y Díaz de la Puente']","['CHI', 'cl', '🇨🇱', 'Republic of Chile', 'República de Chile', 'CL']","['Santiago, Chile', 'Santiago de Chile', 'Greater Santiago']",human,country of citizenship,country,capital,city,8082.0,1336.0,450.0,the country of citizenship of {},the capital of {},the capital of the country of citizenship of Francisco Antonio Pinto is,True,True,True,False,False
47,884,Q1257,P27,Q79,P36,Q85,Boutros Boutros-Ghali,Egypt,Cairo,['Ghali'],"['EGY', 'eg', 'Arab Rep. Egypt', 'Arab Republic of Egypt', '🇪🇬', 'Rep. Egypt', 'Republic of Egypt']","['al-Qāhira', 'Qahira']",human,country of citizenship,country,capital,city,4263.0,78.0,291.0,the country of citizenship of {},the capital of {},the capital of the country of citizenship of Boutros Boutros-Ghali is,True,True,True,False,False
24,885,Q1257,P27,Q79,P38,Q199462,Boutros Boutros-Ghali,Egypt,Egyptian pound,['Ghali'],"['EGY', 'eg', 'Arab Rep. Egypt', 'Arab Republic of Egypt', '🇪🇬', 'Rep. Egypt', 'Republic of Egypt']","['DR', 'D.R.', 'D£']",human,country of citizenship,country,currency,currency,7.0,5040.0,953.0,the country of citizenship of {},the currency of {},the currency of the country of citizenship of Boutros Boutros-Ghali is,True,True,True,False,False
