,id,e1,r1,e2,r2,e3,e1_label,e2_label,e3_label,e1_aliases,e2_aliases,e3_aliases,e1_type,r1_type,e2_type,r2_type,e3_type,e1_popularity,e2_popularity,e3_popularity,r1_template,r2_template,source_prompt,first_hop_correct,second_hop_correct,composition_correct,entity_shortcut_correct,relation_shortcut_correct
26,263,Q440,P27,Q298,P36,Q2887,Salvador Allende,Chile,Santiago,"['Salvador Guillermo Allende Gossens', 'Allende', 'Chicho']","['CHI', 'cl', '🇨🇱', 'Republic of Chile', 'República de Chile', 'CL']","['Santiago, Chile', 'Santiago de Chile', 'Greater Santiago']",human,country of citizenship,country,capital,city,250.0,47117.0,6344.0,the country of citizenship of {},the capital of {},the capital of the country of citizenship of Salvador Allende is,True,True,False,False,False
438,441,Q557,P264,Q664167,P112,Q1101938,Patti Smith,Arista Records,Clive Davis,['Patricia Lee Smith'],['Arista'],['Clive Jay Davis'],human,record label,record label,founded by,human,3902.0,771.0,7512.0,the record label of {},the founder of {},the founder of the record label of Patti Smith is,True,True,False,False,False
317,547,Q1402,P800,Q16438,P495,Q38,Giovanni Boccaccio,The Decameron,Italy,"['Boccace', 'Boccaccio', 'Giovanni Boccace', 'Joanni B. de Certaldo']","['Decameron', 'Decamerone', 'Il Decameron', 'Il Decamerone', 'Boccaccio, Giovanni, 1313-1375. Decamerone']","['ITA', 'Italia', 'IT', '🇮🇹', 'Italian Republic', 'Repubblica Italiana', 'Republic of Italy']",human,notable work,literary work,country of origin,country,26855.0,2612.0,2244.0,the most notable work of {},the country of origin of {},the country of origin of the most notable work of Giovanni Boccaccio is,True,True,False,False,False
305,564,Q1399,P800,Q131719,P495,Q38,Niccolò Machiavelli,The Prince,Italy,"['Machiavelli', 'Nicolo Machiavelli', 'Machiavel', 'N. Machiavelli', 'Niccolo di Bernardo dei Machiavelli', 'Niccolò di Bernardo dei Machiavelli', 'Niccolo Machiavelli', 'Nicolas Machiavel', 'Nicolò Machiavelli']","['De Principatibus (“Of Principalities”)', 'Il Principe (“The Prince”)']","['ITA', 'Italia', 'IT', '🇮🇹', 'Italian Republic', 'Repubblica Italiana', 'Republic of Italy']",human,notable work,literary work,country of origin,country,17535.0,47117.0,10842.0,the most notable work of {},the country of origin of {},the country of origin of the most notable work of Niccolò Machiavelli is,True,True,False,False,False
56,587,Q1395,P27,Q38,P85,Q187,Leo Ortolani,Italy,Il Canto degli Italiani,['Leonardo Ortolani'],"['ITA', 'Italia', 'IT', '🇮🇹', 'Italian Republic', 'Repubblica Italiana', 'Republic of Italy']","['Brothers of Italy', ""Fratelli d'Italia"", 'Inno di Mameli', ""Mameli's Hymn"", 'The Song of the Italians']",human,country of citizenship,country,anthem,musical work/composition,18548.0,1618.0,47117.0,the country of citizenship of {},the national anthem of {},the national anthem of the country of citizenship of Leo Ortolani is,True,True,False,False,False
231,588,Q1434,P22,Q1430,P800,Q1152283,Commodus,Marcus Aurelius,Meditations,"['Caesar Marcus Aurelius Commodus Antoninus Augustus', 'Emperor Commodus of Rome', 'Emperor of Rome Commodus', 'Lucius Aelius Aurelius Commodus', 'Lucius Aelius Aurelius Gaius Augustus', 'Lucius Aurelius Commodus Antoninus', 'Marcus Aurelius Gaius Antoninus']","['Marcus Aurelius Antoninus', 'Antoninus', 'Marcus Annius Verus', 'Caesar Marcus Aurelius Antoninus Augustus', 'Emperor of Rome Marcus Aurelius', 'Emperor of Rome Marcus Aurelius Antoninus', 'Marcus Aurelius Verus', 'Marcus Catilius Severus Annius Verus', 'Verissimus']","['Marcus Aureliuser Atmachinta', 'Aur.', 'Marcus Aurelius, Emperor of Rome, 121-180. Meditations']",human,father,human,notable work,literary work,26855.0,52.0,47117.0,the father of {},the most notable work of {},the most notable work of the father of Commodus is,True,True,False,False,False
320,601,Q1500,P800,Q568299,P495,Q29,José Rizal,Noli Me Tángere,Spain,"['Jose Rizal', 'Jose Montenegro', 'Dimasalang', 'Jose P. Rizal', 'José P. Rizal', 'José Protasio Mercado Rizal Alonso y Realonda', 'Jose Protasio Rizal', 'José Protasio Rizal', 'Laong Laan']","['Noli Me Tangere', 'The Social Cancer']","['ESP', 'ES', 'Kingdom of Spain']",human,notable work,literary work,country of origin,country,1330.0,11040.0,985.0,the most notable work of {},the country of origin of {},the country of origin of the most notable work of José Rizal is,True,True,False,False,False
302,604,Q1500,P800,Q568299,P495,Q928,José Rizal,Noli Me Tángere,Philippines,"['Jose Rizal', 'Jose Montenegro', 'Dimasalang', 'Jose P. Rizal', 'José P. Rizal', 'José Protasio Mercado Rizal Alonso y Realonda', 'Jose Protasio Rizal', 'José Protasio Rizal', 'Laong Laan']","['Noli Me Tangere', 'The Social Cancer']","['PH', 'RP', 'The Philippines', 'PHL', 'Republic of the Philippines', 'Philippine Islands', 'PHI', 'ph', '🇵🇭']",human,notable work,literary work,country of origin,country,496.0,10.0,15.0,the most notable work of {},the country of origin of {},the country of origin of the most notable work of José Rizal is,True,True,False,False,False
213,642,Q1409,P25,Q229413,P26,Q191039,Caligula,Agrippina the Elder,Germanicus,"['Emperor of Rome Caligula', 'Emperor of Rome Gaius', 'Emperor of Rome Gaius Caesar Germanicus', 'Gaius', 'Gaius Caesar', 'Gaius Caesar Germanicus', 'Gaius Iulius Caesar Germanicus Caligula', 'Gaius Julius Caesar Augustus Germanicus', 'Gaius Julius Caesar Germanicus', 'Gaius Julius Caesar Germanicus Minor', 'Julius Caesar Germanicus, Emperor of Rome Gaius']","['Agrippina', 'Vipsania Agrippina', 'Vipsania Julia Agrippina', 'Agrippina Maior', 'Agrippina Major']","['Caesar Germanicus', 'Cæsar Germanicus', 'Germanicus Caesar', 'Germanicus Julius Caesar', 'Nero Claudius Drusus']",human,mother,human,spouse,human,1.0,2084.0,4978.0,the mother of {},the spouse of {},the spouse of the mother of Caligula is,True,True,False,False,False
232,677,Q1405,P22,Q363084,P26,Q231696,Augustus,Gaius Octavius,Atia,"['Gaius Julius Caesar', 'Gaius Octavius', 'Octavianus', 'Gaius Caesar', 'Octavian', 'Caesar Augustus', 'Octavius Caesar', 'Augustus Caesar', 'Caesar Octavianus', 'Emperor of Rome Augustus', 'Emperor of Rome Gaius Julius Caesar Octavianus', 'Emperor of Rome Octavian', 'Emperor of Rome Octavius Caesar', 'Gaius Julius Caesar Augustus', 'Gaius Julius Caesar Octavianus', 'Gaius Julius Caesar Octavianus Augustus', 'Gaius Octavian', 'Gaius Octavius Caepias', 'Gaius Octavius Thurinus', 'Imperator Gaius Julius Caesar Octavianus Divi Filius Augustus', 'Caius Octavius Thurinus', 'Augustus, Emperor of Rome, 63 B.C.-14 A.D.', 'Caius Julius Cæsar Octavianus', 'Caius Octavius']",['Gaius Octavius Rufus'],"['Atia Balba', 'Atia Balba Caesonia', 'Atia Balba Secunda', 'Atia Maior', 'Atia Major', 'Atia Secunda', 'Atia the Elder']",human,father,human,spouse,human,143770.0,1563.0,406.0,the father of {},the spouse of {},the spouse of the father of Augustus is,True,True,False,False,False
